Class of Year,LEA,LEA Name,School Number,School Name,Cohort,Grad Rate,Diplomas Earned,Adjusted Cohort Count,Create Date
2016,01,Allegany,0405,Fort Hill High,5-year adjusted cohort,84.21,144,171,20180117
2016,01,Allegany,0405,Fort Hill High,4-year adjusted cohort,85.03,142,167,20180117
2016,01,Allegany,0405,Fort Hill High,3-year adjusted cohort,<= 5.00,*,163,20180117
2016,01,Allegany,0601,Center for Career & Technical Education,5-year adjusted cohort,>= 95.00,*,145,20180117
2016,01,Allegany,0601,Center for Career & Technical Education,4-year adjusted cohort,>= 95.00,*,146,20180117
2016,01,Allegany,0601,Center for Career & Technical Education,3-year adjusted cohort,<= 5.00,*,153,20180117
2016,01,Allegany,0606,Allegany High,5-year adjusted cohort,91.33,137,150,20180117
2016,01,Allegany,0606,Allegany High,4-year adjusted cohort,90.07,136,151,20180117
2016,01,Allegany,0606,Allegany High,3-year adjusted cohort,<= 5.00,*,152,20180117
2016,01,Allegany,2404,Mountain Ridge High School,5-year adjusted cohort,88.61,179,202,20180117
2016,01,Allegany,2404,Mountain Ridge High School,4-year adjusted cohort,88.61,179,202,20180117
2016,01,Allegany,2404,Mountain Ridge High School,3-year adjusted cohort,<= 5.00,*,186,20180117
2016,01,Allegany,A,All Allegany Schools,5-year adjusted cohort,90.42,604,668,20180117
2016,01,Allegany,A,All Allegany Schools,4-year adjusted cohort,90.24,601,666,20180117
2016,01,Allegany,A,All Allegany Schools,3-year adjusted cohort,<= 5.00,*,654,20180117
2016,02,Anne Arundel,1033,Glen Burnie High,5-year adjusted cohort,90.27,408,452,20180117
2016,02,Anne Arundel,1033,Glen Burnie High,4-year adjusted cohort,88.79,404,455,20180117
2016,02,Anne Arundel,1033,Glen Burnie High,3-year adjusted cohort,<= 5.00,*,462,20180117
2016,02,Anne Arundel,1274,Marley Glen School,5-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,1274,Marley Glen School,4-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,1274,Marley Glen School,3-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,1323,North County High,5-year adjusted cohort,88.96,435,489,20180117
2016,02,Anne Arundel,1323,North County High,4-year adjusted cohort,86.99,428,492,20180117
2016,02,Anne Arundel,1323,North County High,3-year adjusted cohort,<= 5.00,*,494,20180117
2016,02,Anne Arundel,2013,Severna Park High,5-year adjusted cohort,>= 95.00,*,487,20180117
2016,02,Anne Arundel,2013,Severna Park High,4-year adjusted cohort,94.90,465,490,20180117
2016,02,Anne Arundel,2013,Severna Park High,3-year adjusted cohort,<= 5.00,*,488,20180117
2016,02,Anne Arundel,2023,Northeast High,5-year adjusted cohort,90.65,320,353,20180117
2016,02,Anne Arundel,2023,Northeast High,4-year adjusted cohort,88.76,316,356,20180117
2016,02,Anne Arundel,2023,Northeast High,3-year adjusted cohort,<= 5.00,*,348,20180117
2016,02,Anne Arundel,2233,Anne Arundel Evening High,5-year adjusted cohort,39.04,57,146,20180117
2016,02,Anne Arundel,2233,Anne Arundel Evening High,4-year adjusted cohort,26.36,29,110,20180117
2016,02,Anne Arundel,2233,Anne Arundel Evening High,3-year adjusted cohort,<= 5.00,*,71,20180117
2016,02,Anne Arundel,2273,Chesapeake High,5-year adjusted cohort,92.78,334,360,20180117
2016,02,Anne Arundel,2273,Chesapeake High,4-year adjusted cohort,90.88,329,362,20180117
2016,02,Anne Arundel,2273,Chesapeake High,3-year adjusted cohort,<= 5.00,*,359,20180117
2016,02,Anne Arundel,2363,Broadneck High,5-year adjusted cohort,94.49,514,544,20180117
2016,02,Anne Arundel,2363,Broadneck High,4-year adjusted cohort,93.94,512,545,20180117
2016,02,Anne Arundel,2363,Broadneck High,3-year adjusted cohort,<= 5.00,*,532,20180117
2016,02,Anne Arundel,3013,Arundel High,5-year adjusted cohort,94.74,486,513,20180117
2016,02,Anne Arundel,3013,Arundel High,4-year adjusted cohort,93.79,483,515,20180117
2016,02,Anne Arundel,3013,Arundel High,3-year adjusted cohort,<= 5.00,*,507,20180117
2016,02,Anne Arundel,3323,Meade High,5-year adjusted cohort,89.60,431,481,20180117
2016,02,Anne Arundel,3323,Meade High,4-year adjusted cohort,86.53,424,490,20180117
2016,02,Anne Arundel,3323,Meade High,3-year adjusted cohort,<= 5.00,*,493,20180117
2016,02,Anne Arundel,3353,Old Mill High,5-year adjusted cohort,94.18,502,533,20180117
2016,02,Anne Arundel,3353,Old Mill High,4-year adjusted cohort,93.30,501,537,20180117
2016,02,Anne Arundel,3353,Old Mill High,3-year adjusted cohort,<= 5.00,*,527,20180117
2016,02,Anne Arundel,3414,Ruth Parker Eason School,5-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,3414,Ruth Parker Eason School,4-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,3414,Ruth Parker Eason School,3-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,4013,Annapolis High,5-year adjusted cohort,88.77,403,454,20180117
2016,02,Anne Arundel,4013,Annapolis High,4-year adjusted cohort,85.62,393,459,20180117
2016,02,Anne Arundel,4013,Annapolis High,3-year adjusted cohort,<= 5.00,*,460,20180117
2016,02,Anne Arundel,4023,Southern High,5-year adjusted cohort,94.55,243,257,20180117
2016,02,Anne Arundel,4023,Southern High,4-year adjusted cohort,93.44,242,259,20180117
2016,02,Anne Arundel,4023,Southern High,3-year adjusted cohort,<= 5.00,*,261,20180117
2016,02,Anne Arundel,4074,Phoenix Academy,5-year adjusted cohort,60.94,39,64,20180117
2016,02,Anne Arundel,4074,Phoenix Academy,4-year adjusted cohort,53.23,33,62,20180117
2016,02,Anne Arundel,4074,Phoenix Academy,3-year adjusted cohort,<= 5.00,*,63,20180117
2016,02,Anne Arundel,4293,South River High,5-year adjusted cohort,94.80,510,538,20180117
2016,02,Anne Arundel,4293,South River High,4-year adjusted cohort,94.26,509,540,20180117
2016,02,Anne Arundel,4293,South River High,3-year adjusted cohort,<= 5.00,*,540,20180117
2016,02,Anne Arundel,4304,Central Special School,5-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,4304,Central Special School,4-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,4304,Central Special School,3-year adjusted cohort,*,*,*,20180117
2016,02,Anne Arundel,6223,Chesapeake Science Point,5-year adjusted cohort,>= 95.00,*,33,20180117
2016,02,Anne Arundel,6223,Chesapeake Science Point,4-year adjusted cohort,>= 95.00,*,33,20180117
2016,02,Anne Arundel,6223,Chesapeake Science Point,3-year adjusted cohort,<= 5.00,*,33,20180117
2016,02,Anne Arundel,A,All Anne Arundel Schools,5-year adjusted cohort,90.50,5181,5725,20180117
2016,02,Anne Arundel,A,All Anne Arundel Schools,4-year adjusted cohort,89.08,5101,5726,20180117
2016,02,Anne Arundel,A,All Anne Arundel Schools,3-year adjusted cohort,<= 5.00,*,5661,20180117
2016,03,Baltimore County,0054,Extended Day Learning Program,5-year adjusted cohort,6.67,6,90,20180117
2016,03,Baltimore County,0054,Extended Day Learning Program,4-year adjusted cohort,<= 5.00,*,93,20180117
2016,03,Baltimore County,0054,Extended Day Learning Program,3-year adjusted cohort,<= 5.00,*,94,20180117
2016,03,Baltimore County,0058,Home Assignments-Secondary,5-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0058,Home Assignments-Secondary,4-year adjusted cohort,<= 5.00,*,18,20180117
2016,03,Baltimore County,0058,Home Assignments-Secondary,3-year adjusted cohort,<= 5.00,*,24,20180117
2016,03,Baltimore County,0069,Catonsville Center for Alternative Studies,5-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0069,Catonsville Center for Alternative Studies,4-year adjusted cohort,<= 5.00,*,10,20180117
2016,03,Baltimore County,0069,Catonsville Center for Alternative Studies,3-year adjusted cohort,<= 5.00,*,14,20180117
2016,03,Baltimore County,0072,Rosedale Center,5-year adjusted cohort,<= 5.00,*,16,20180117
2016,03,Baltimore County,0072,Rosedale Center,4-year adjusted cohort,<= 5.00,*,18,20180117
2016,03,Baltimore County,0072,Rosedale Center,3-year adjusted cohort,<= 5.00,*,46,20180117
2016,03,Baltimore County,0075,Crossroads Center,5-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0075,Crossroads Center,4-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0075,Crossroads Center,3-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0077,BCDC Educational Center,5-year adjusted cohort,<= 5.00,*,18,20180117
2016,03,Baltimore County,0077,BCDC Educational Center,4-year adjusted cohort,<= 5.00,*,17,20180117
2016,03,Baltimore County,0077,BCDC Educational Center,3-year adjusted cohort,<= 5.00,*,16,20180117
2016,03,Baltimore County,0111,Maiden Choice School,5-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0111,Maiden Choice School,4-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0111,Maiden Choice School,3-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,5-year adjusted cohort,88.73,315,355,20180117
2016,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,4-year adjusted cohort,89.17,313,351,20180117
2016,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,3-year adjusted cohort,<= 5.00,*,356,20180117
2016,03,Baltimore County,0174,Catonsville High,5-year adjusted cohort,93.15,408,438,20180117
2016,03,Baltimore County,0174,Catonsville High,4-year adjusted cohort,91.99,402,437,20180117
2016,03,Baltimore County,0174,Catonsville High,3-year adjusted cohort,<= 5.00,*,445,20180117
2016,03,Baltimore County,0175,Western School of Technology & Env. Science,5-year adjusted cohort,>= 95.00,*,237,20180117
2016,03,Baltimore County,0175,Western School of Technology & Env. Science,4-year adjusted cohort,>= 95.00,*,237,20180117
2016,03,Baltimore County,0175,Western School of Technology & Env. Science,3-year adjusted cohort,<= 5.00,*,238,20180117
2016,03,Baltimore County,0271,Milford Mill Academy,5-year adjusted cohort,92.93,355,382,20180117
2016,03,Baltimore County,0271,Milford Mill Academy,4-year adjusted cohort,90.39,348,385,20180117
2016,03,Baltimore County,0271,Milford Mill Academy,3-year adjusted cohort,<= 5.00,*,381,20180117
2016,03,Baltimore County,0272,Randallstown High,5-year adjusted cohort,93.03,227,244,20180117
2016,03,Baltimore County,0272,Randallstown High,4-year adjusted cohort,93.80,227,242,20180117
2016,03,Baltimore County,0272,Randallstown High,3-year adjusted cohort,<= 5.00,*,228,20180117
2016,03,Baltimore County,0371,Pikesville High,5-year adjusted cohort,92.69,203,219,20180117
2016,03,Baltimore County,0371,Pikesville High,4-year adjusted cohort,93.06,201,216,20180117
2016,03,Baltimore County,0371,Pikesville High,3-year adjusted cohort,<= 5.00,*,216,20180117
2016,03,Baltimore County,0452,Owings Mills High,5-year adjusted cohort,84.82,190,224,20180117
2016,03,Baltimore County,0452,Owings Mills High,4-year adjusted cohort,78.76,178,226,20180117
2016,03,Baltimore County,0452,Owings Mills High,3-year adjusted cohort,<= 5.00,*,225,20180117
2016,03,Baltimore County,0472,Franklin High,5-year adjusted cohort,92.86,377,406,20180117
2016,03,Baltimore County,0472,Franklin High,4-year adjusted cohort,92.50,370,400,20180117
2016,03,Baltimore County,0472,Franklin High,3-year adjusted cohort,<= 5.00,*,387,20180117
2016,03,Baltimore County,0473,New Town High,5-year adjusted cohort,93.03,227,244,20180117
2016,03,Baltimore County,0473,New Town High,4-year adjusted cohort,93.36,225,241,20180117
2016,03,Baltimore County,0473,New Town High,3-year adjusted cohort,<= 5.00,*,241,20180117
2016,03,Baltimore County,0772,Hereford High,5-year adjusted cohort,>= 95.00,*,273,20180117
2016,03,Baltimore County,0772,Hereford High,4-year adjusted cohort,>= 95.00,*,273,20180117
2016,03,Baltimore County,0772,Hereford High,3-year adjusted cohort,<= 5.00,*,273,20180117
