Class of Year,LEA,LEA Name,School Number,School Name,Cohort,Grad Rate,Diplomas Earned,Adjusted Cohort Count,Create Date
2017,1,Allegany,405,Fort Hill High,4-year adjusted cohort,82.86,145,175,20180117
2017,1,Allegany,405,Fort Hill High,3-year adjusted cohort,<= 5.00,*,163,20180117
2017,1,Allegany,601,Center for Career & Technical Education,4-year adjusted cohort,>= 95.00,*,132,20180117
2017,1,Allegany,601,Center for Career & Technical Education,3-year adjusted cohort,<= 5.00,*,137,20180117
2017,1,Allegany,606,Allegany High,4-year adjusted cohort,90.78,128,141,20180117
2017,1,Allegany,606,Allegany High,3-year adjusted cohort,<= 5.00,*,133,20180117
2017,1,Allegany,2404,Mountain Ridge High School,4-year adjusted cohort,87.82,137,156,20180117
2017,1,Allegany,2404,Mountain Ridge High School,3-year adjusted cohort,<= 5.00,*,154,20180117
2017,1,Allegany,A,All Allegany Schools,4-year adjusted cohort,88.74,536,604,20180117
2017,1,Allegany,A,All Allegany Schools,3-year adjusted cohort,<= 5.00,*,587,20180117
2017,2,Anne Arundel,1033,Glen Burnie High,4-year adjusted cohort,90.3,391,433,20180117
2017,2,Anne Arundel,1033,Glen Burnie High,3-year adjusted cohort,<= 5.00,*,438,20180117
2017,2,Anne Arundel,1274,Marley Glen School,4-year adjusted cohort,*,*,*,20180117
2017,2,Anne Arundel,1274,Marley Glen School,3-year adjusted cohort,*,*,*,20180117
2017,2,Anne Arundel,1323,North County High,4-year adjusted cohort,86.18,424,492,20180117
2017,2,Anne Arundel,1323,North County High,3-year adjusted cohort,<= 5.00,*,499,20180117
2017,2,Anne Arundel,2013,Severna Park High,4-year adjusted cohort,>= 95.00,*,418,20180117
2017,2,Anne Arundel,2013,Severna Park High,3-year adjusted cohort,<= 5.00,*,414,20180117
2017,2,Anne Arundel,2023,Northeast High,4-year adjusted cohort,90.88,299,329,20180117
2017,2,Anne Arundel,2023,Northeast High,3-year adjusted cohort,<= 5.00,*,330,20180117
2017,2,Anne Arundel,2233,Anne Arundel Evening High,4-year adjusted cohort,14.69,21,143,20180117
2017,2,Anne Arundel,2233,Anne Arundel Evening High,3-year adjusted cohort,<= 5.00,*,103,20180117
2017,2,Anne Arundel,2273,Chesapeake High,4-year adjusted cohort,90.06,317,352,20180117
2017,2,Anne Arundel,2273,Chesapeake High,3-year adjusted cohort,<= 5.00,*,354,20180117
2017,2,Anne Arundel,2363,Broadneck High,4-year adjusted cohort,94.73,485,512,20180117
2017,2,Anne Arundel,2363,Broadneck High,3-year adjusted cohort,<= 5.00,*,515,20180117
2017,2,Anne Arundel,3013,Arundel High,4-year adjusted cohort,92.22,510,553,20180117
2017,2,Anne Arundel,3013,Arundel High,3-year adjusted cohort,<= 5.00,*,536,20180117
2017,2,Anne Arundel,3323,Meade High,4-year adjusted cohort,86.59,439,507,20180117
2017,2,Anne Arundel,3323,Meade High,3-year adjusted cohort,<= 5.00,*,505,20180117
2017,2,Anne Arundel,3353,Old Mill High,4-year adjusted cohort,93.36,506,542,20180117
2017,2,Anne Arundel,3353,Old Mill High,3-year adjusted cohort,<= 5.00,*,539,20180117
2017,2,Anne Arundel,3414,Ruth Parker Eason School,4-year adjusted cohort,*,*,*,20180117
2017,2,Anne Arundel,3414,Ruth Parker Eason School,3-year adjusted cohort,*,*,*,20180117
2017,2,Anne Arundel,4013,Annapolis High,4-year adjusted cohort,86.41,426,493,20180117
2017,2,Anne Arundel,4013,Annapolis High,3-year adjusted cohort,<= 5.00,*,490,20180117
2017,2,Anne Arundel,4023,Southern High,4-year adjusted cohort,92.57,249,269,20180117
2017,2,Anne Arundel,4023,Southern High,3-year adjusted cohort,<= 5.00,*,261,20180117
2017,2,Anne Arundel,4074,Phoenix Academy,4-year adjusted cohort,61.29,38,62,20180117
2017,2,Anne Arundel,4074,Phoenix Academy,3-year adjusted cohort,<= 5.00,*,71,20180117
2017,2,Anne Arundel,4293,South River High,4-year adjusted cohort,93.06,523,562,20180117
2017,2,Anne Arundel,4293,South River High,3-year adjusted cohort,<= 5.00,*,565,20180117
2017,2,Anne Arundel,4304,Central Special School,4-year adjusted cohort,*,*,*,20180117
2017,2,Anne Arundel,4304,Central Special School,3-year adjusted cohort,*,*,*,20180117
2017,2,Anne Arundel,6223,Chesapeake Science Point,4-year adjusted cohort,>= 95.00,*,61,20180117
2017,2,Anne Arundel,6223,Chesapeake Science Point,3-year adjusted cohort,<= 5.00,*,60,20180117
2017,2,Anne Arundel,A,All Anne Arundel Schools,4-year adjusted cohort,88.53,5086,5745,20180117
2017,2,Anne Arundel,A,All Anne Arundel Schools,3-year adjusted cohort,<= 5.00,*,5700,20180117
2017,3,Baltimore County,54,Extended Day Learning Program,4-year adjusted cohort,<= 5.00,*,70,20180117
2017,3,Baltimore County,54,Extended Day Learning Program,3-year adjusted cohort,<= 5.00,*,97,20180117
2017,3,Baltimore County,58,Home Assignments-Secondary,4-year adjusted cohort,<= 5.00,*,25,20180117
2017,3,Baltimore County,58,Home Assignments-Secondary,3-year adjusted cohort,<= 5.00,*,45,20180117
2017,3,Baltimore County,69,Catonsville Center for Alternative Studies,4-year adjusted cohort,<= 5.00,*,12,20180117
2017,3,Baltimore County,69,Catonsville Center for Alternative Studies,3-year adjusted cohort,<= 5.00,*,26,20180117
