Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Ada504 Pct,Ada504 Cnt,FARMS Pct,FARMS Cnt,LEP Pct,LEP Cnt,Migrant Pct,Migrant Cnt,Spec Ed Pct,Spec Ed Cnt,Title1 Pct,Title1 Cnt,Enrollment Cnt,Create Date
2017,01,Allegany,0301,Flintstone Elementary,Elementary,*,*,60.5,150,*,*,*,*,22.2,55,*,*,248,20170814
2017,01,Allegany,0401,South Penn Elementary,Elementary,*,*,75.7,406,*,*,*,*,20.9,112,>= 95.0,*,536,20170814
2017,01,Allegany,0402,John Humbird Elementary,Elementary,*,*,90.6,252,*,*,*,*,19.8,55,>= 95.0,*,278,20170814
2017,01,Allegany,0405,Fort Hill High,High,<= 5.0,*,55.4,437,*,*,*,*,13.4,106,*,*,789,20170814
2017,01,Allegany,0406,Washington Middle,Middle,*,*,61.3,356,*,*,*,*,18.2,106,*,*,581,20170814
2017,01,Allegany,0502,Northeast Elementary,Elementary,*,*,59.9,190,*,*,*,*,18.0,57,>= 95.0,*,317,20170814
2017,01,Allegany,0504,Braddock Middle,Middle,*,*,53.6,309,*,*,*,*,12.7,73,*,*,577,20170814
2017,01,Allegany,0601,Center for Career & Technical Education,High,*,*,53.7,139,*,*,*,*,17.8,46,*,*,259,20170814
2017,01,Allegany,0603,West Side Elementary,Elementary,*,*,63.5,244,*,*,*,*,13.8,53,>= 95.0,*,384,20170814
2017,01,Allegany,0606,Allegany High,High,<= 5.0,*,38.7,255,*,*,*,*,6.2,41,*,*,659,20170814
2017,01,Allegany,0701,Cresaptown Elementary,Elementary,*,*,52.3,182,*,*,*,*,17.0,59,*,*,348,20170814
2017,01,Allegany,0702,Bel Air Elementary,Elementary,*,*,52.0,118,*,*,*,*,18.5,42,*,*,227,20170814
2017,01,Allegany,0801,Westernport Elementary,Elementary,*,*,71.6,199,*,*,*,*,19.4,54,>= 95.0,*,278,20170814
2017,01,Allegany,0802,Westmar Middle,Middle,*,*,66.3,185,*,*,*,*,15.8,44,*,*,279,20170814
2017,01,Allegany,1001,George's Creek Elementary,Elementary,*,*,70.3,218,*,*,*,*,18.1,56,>= 95.0,*,310,20170814
2017,01,Allegany,1101,Frost Elementary,Elementary,*,*,29.8,68,*,*,*,*,10.1,23,*,*,228,20170814
2017,01,Allegany,1301,Mount Savage Middle,Middle,<= 5.0,*,43.2,180,*,*,*,*,12.0,50,*,*,417,20170814
2017,01,Allegany,1302,Mt. Savage Elementary,Elementary,*,*,59.1,114,*,*,*,*,16.1,31,>= 95.0,*,193,20170814
2017,01,Allegany,2404,Mountain Ridge High School,High,<= 5.0,*,41.7,319,*,*,*,*,8.9,68,*,*,765,20170814
2017,01,Allegany,2801,Beall Elementary,Elementary,*,*,57.9,272,*,*,*,*,18.1,85,>= 95.0,*,470,20170814
2017,01,Allegany,2901,Cash Valley Elementary,Elementary,*,*,64.0,187,*,*,*,*,22.3,65,>= 95.0,*,292,20170814
2017,01,Allegany,2902,Parkside Elementary,Elementary,*,*,58.7,132,*,*,*,*,20.4,46,*,*,225,20170814
2017,01,Allegany,A,All Allegany Schools,Elementary,<= 5.0,*,63.0,2732,*,*,*,*,18.3,793,70.6,3058,4334,20170814
2017,01,Allegany,A,All Allegany Schools,Middle,<= 5.0,*,55.6,1030,*,*,*,*,14.7,273,*,*,1854,20170814
2017,01,Allegany,A,All Allegany Schools,High,<= 5.0,*,46.5,1150,*,*,*,*,10.6,261,*,*,2472,20170814
2017,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,<= 5.0,*,56.1,392,<= 5.0,*,*,*,11.0,77,*,*,699,20170814
2017,02,Anne Arundel,1033,Glen Burnie High,High,6.7,124,47.4,881,6.3,117,*,*,9.9,184,*,*,1860,20170814
2017,02,Anne Arundel,1043,Corkran Middle School,Middle,<= 5.0,*,56.1,302,6.1,33,*,*,9.1,49,*,*,538,20170814
2017,02,Anne Arundel,1053,Lindale Middle,Middle,5.7,60,46.7,496,<= 5.0,*,*,*,10.1,107,*,*,1061,20170814
2017,02,Anne Arundel,1063,Marley Middle,Middle,5.1,43,54.5,461,<= 5.0,*,*,*,13.0,110,*,*,846,20170814
