Academic Year,LEA Number,LEA Name,Wealth Per Pupil,Expenditures Per Pupil,Instruction Staff Per Thousand,Prof Support Staff Per Thousand,Instruction Assist Per Thousand,Hours Per Day Average,Days Per Year Average,Create Date
2017,1,Allegany,295924,13900,70.1,13.9,18.4,6.6,180,20180504
2017,2,Anne Arundel,589471,12996,68.5,11.7,11.4,6.5,181,20180504
2017,3,Baltimore County,466963,13303,65.1,11.4,10.1,6.5,181,20180504
2017,4,Calvert,461054,13548,62.5,12.2,19.7,6.8,180,20180504
2017,5,Caroline,280706,12628,72.8,10,25.3,6.8,180,20180504
2017,6,Carroll,452479,12996,70.5,11.8,12.8,6.6,179,20180504
2017,7,Cecil,378996,12623,76.2,12.5,12.3,7,180,20180504
2017,8,Charles,383252,13493,68.2,11.4,19.6,6.6,180,20180504
2017,9,Dorchester,346869,14507,80.8,14.7,14.9,6.6,180,20180504
2017,10,Frederick,408646,12783,63.1,10.3,21.1,6.7,180,20180504
2017,11,Garrett,601337,14940,77.5,11.5,13,6.6,180,20180504
2017,12,Harford,448831,12508,69,10.8,18.9,6.6,180,20180504
2017,13,Howard,536487,15338,75,12.9,22,6.6,180,20180504
2017,14,Kent,779176,14236,74.7,12.2,18.2,6.5,179,20180504
2017,15,Montgomery,656948,15012,68.3,11.4,16,6.5,183,20180504
2017,16,Prince George's,372361,14390,69.6,10.2,15.3,6.4,179,20180504
2017,17,Queen Anne's,558702,12661,68,9.6,11,6.9,180,20180504
2017,18,Saint Mary's,428173,12637,60,9.7,14,6.8,180,20180504
2017,19,Somerset,284533,15927,77.5,14.6,18.1,7.1,180,20180504
2017,20,Talbot,973486,12385,71.7,11.4,10.8,6.6,180,20180504
2017,21,Washington,339072,12801,64.3,10.3,14.4,6.6,180,20180504
2017,22,Wicomico,271758,13321,76.2,11.2,25.6,6.6,177,20180504
2017,23,Worcester,1098970,17168,90.1,12.5,28.2,7,180,20180504
2017,30,Baltimore City,282163,14887,62.6,10.6,13.2,6.7,180,20180504
2017,A,All Public Schools,475129,13966,68.1,11.2,15.4,6.6,181,20180504
